agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2019-11-11 00:00,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 00:15,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 00:30,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 00:45,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 01:00,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 01:15,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 01:30,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 01:45,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 02:00,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 02:15,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 02:30,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 02:45,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 03:00,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 03:15,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 03:30,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 03:45,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 04:00,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 04:15,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 04:30,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 04:45,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 05:00,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 05:15,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 05:30,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 05:45,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 06:00,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 06:15,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 06:30,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 06:45,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 07:00,EST,8.02,P,1.07,P
